,CPI,spread,unrate
1957/1/1,28.5,0.27,4.2
1957/2/1,28.6,0.1,3.9
1957/3/1,28.7,0.12,3.7
1957/4/1,28.8,0.07,3.9
1957/5/1,28.8,0.06,4.1
1957/6/1,28.9,0.29,4.3
1957/7/1,29,0.17,4.2
1957/8/1,29,0.13,4.1
1957/9/1,29.1,0.06,4.4
1957/10/1,29.2,0.08,4.5
1957/11/1,29.3,0.03,5.1
1957/12/1,29.3,0.06,5.2
1958/1/1,29.3,-0.28,5.8
1958/2/1,29.4,-0.14,6.4
1958/3/1,29.5,0.1,6.7
1958/4/1,29.5,-0.13,7.4
1958/5/1,29.5,0.28,7.4
1958/6/1,29.6,-0.1,7.3
1958/7/1,29.6,0.23,7.5
1958/8/1,29.6,0.16,7.4
1958/9/1,29.7,0.68,7.1
1958/10/1,29.7,0.83,6.7
1958/11/1,29.8,0.4,6.2
1958/12/1,29.9,0.35,6.2
1959/1/1,29.9,0.34,6
1959/2/1,29.9,0.27,5.9
1959/3/1,30,0,5.6
1959/4/1,30,-0.01,5.2
1959/5/1,30.1,-0.06,5.1
1959/6/1,30.2,-0.18,5
1959/7/1,30.2,-0.27,5.1
1959/8/1,30.2,-0.12,5.2
1959/9/1,30.3,0.28,5.5
1959/10/1,30.4,0.07,5.7
1959/11/1,30.4,0.15,5.8
1959/12/1,30.5,0.5,5.3
1960/1/1,30.5,0.36,5.2
1960/2/1,30.6,-0.01,4.8
1960/3/1,30.6,-0.53,5.4
1960/4/1,30.6,-0.69,5.2
1960/5/1,30.6,-0.56,5.1
1960/6/1,30.7,-0.86,5.4
1960/7/1,30.6,-0.93,5.5
1960/8/1,30.6,-0.68,5.6
1960/9/1,30.6,-0.12,5.5
1960/10/1,30.8,-0.17,6.1
1960/11/1,30.8,-0.07,6.1
1960/12/1,30.7,0.27,6.6
1961/1/1,30.8,0.79,6.6
1961/2/1,30.8,-0.12,6.9
1961/3/1,30.9,0.37,6.9
1961/4/1,30.9,0.8,7
1961/5/1,30.9,0.31,7.1
1961/6/1,31,0.6,6.9
1961/7/1,31,1.07,7
1961/8/1,31.1,0.39,6.6
1961/9/1,31.1,0.4,6.7
1961/10/1,31.1,0.04,6.5
1961/11/1,31.2,-0.13,6.1
1961/12/1,31.2,0.27,6
1962/1/1,31.2,0.57,5.8
1962/2/1,31.2,0.36,5.5
1962/3/1,31.3,-0.13,5.6
1962/4/1,31.3,-0.05,5.6
1962/5/1,31.4,0.33,5.5
1962/6/1,31.4,0.05,5.5
1962/7/1,31.4,0.21,5.4
1962/8/1,31.5,-0.11,5.7
1962/9/1,31.5,-0.12,5.6
1962/10/1,31.5,-0.16,5.4
1962/11/1,31.5,-0.11,5.7
1962/12/1,31.6,-0.06,5.5
1963/1/1,31.5,-0.01,5.7
1963/2/1,31.6,-0.08,5.9
1963/3/1,31.7,-0.09,5.7
1963/4/1,31.7,0,5.7
1963/5/1,31.7,-0.07,5.9
1963/6/1,31.8,0,5.6
1963/7/1,31.8,0.16,5.6
1963/8/1,31.9,-0.17,5.4
1963/9/1,31.9,-0.1,5.5
1963/10/1,32,-0.05,5.5
1963/11/1,32,0.04,5.7
1963/12/1,32.1,0.14,5.5
1964/1/1,32.2,0.04,5.6
1964/2/1,32.2,0.05,5.4
1964/3/1,32.2,0.11,5.4
1964/4/1,32.2,0,5.3
1964/5/1,32.2,-0.02,5.1
1964/6/1,32.3,-0.02,5.2
1964/7/1,32.3,0.04,4.9
1964/8/1,32.3,0,5
1964/9/1,32.3,0.08,5.1
1964/10/1,32.4,0.21,5.1
1964/11/1,32.5,0.12,4.8
1964/12/1,32.5,-0.01,5
1965/1/1,32.6,-0.09,4.9
1965/2/1,32.6,-0.05,5.1
1965/3/1,32.6,-0.11,4.7
1965/4/1,32.7,-0.16,4.8
1965/5/1,32.7,-0.21,4.6
1965/6/1,32.7,-0.24,4.6
1965/7/1,32.7,-0.25,4.4
1965/8/1,32.7,-0.28,4.4
1965/9/1,32.8,-0.09,4.3
1965/10/1,32.8,-0.05,4.2
1965/11/1,32.9,-0.01,4.1
1965/12/1,33,0.06,4
1966/1/1,33,0.17,4
1966/2/1,33.1,0.05,3.8
1966/3/1,33.1,-0.06,3.8
1966/4/1,33.3,-0.05,3.8
1966/5/1,33.4,-0.26,3.9
1966/6/1,33.5,-0.67,3.8
1966/7/1,33.6,-0.5,3.8
1966/8/1,33.7,-0.57,3.8
1966/9/1,33.8,-0.03,3.7
1966/10/1,34,-0.18,3.7
1966/11/1,34,-0.44,3.6
1966/12/1,34.1,-0.44,3.8
1967/1/1,34.2,-0.22,3.9
1967/2/1,34.2,-0.44,3.8
1967/3/1,34.3,-0.27,3.8
1967/4/1,34.4,-0.21,3.8
1967/5/1,34.5,-0.34,3.8
1967/6/1,34.6,-0.44,3.9
1967/7/1,34.7,0.42,3.8
1967/8/1,34.9,0.37,3.8
1967/9/1,35,0.43,3.8
1967/10/1,35.1,0.68,4
1967/11/1,35.2,0.6,3.9
1967/12/1,35.4,0.46,3.8
1968/1/1,35.5,0.4,3.7
1968/2/1,35.7,0.27,3.8
1968/3/1,35.8,0.12,3.7
1968/4/1,35.9,-0.38,3.5
1968/5/1,36,-0.45,3.5
1968/6/1,36.2,-0.55,3.7
1968/7/1,36.4,-0.71,3.7
1968/8/1,36.5,-0.94,3.5
1968/9/1,36.7,-0.59,3.4
1968/10/1,36.9,-0.56,3.4
1968/11/1,37.1,-0.37,3.4
1968/12/1,37.2,-0.06,3.4
1969/1/1,37.3,-0.16,3.4
1969/2/1,37.6,-0.49,3.4
1969/3/1,37.8,-0.77,3.4
1969/4/1,38.1,-1.3,3.4
1969/5/1,38.1,-2.63,3.4
1969/6/1,38.3,-2.46,3.5
1969/7/1,38.5,-1.61,3.5
1969/8/1,38.7,-2.21,3.5
1969/9/1,38.9,-2.06,3.7
1969/10/1,39.1,-2,3.7
1969/11/1,39.2,-1.61,3.5
1969/12/1,39.4,-1.15,3.5
1970/1/1,39.6,-1.11,3.9
1970/2/1,39.8,-1.85,4.2
1970/3/1,40.1,-1.13,4.4
1970/4/1,40.4,-1.59,4.6
1970/5/1,40.5,-1.1,4.8
1970/6/1,40.8,-0.92,4.9
1970/7/1,40.9,-0.76,5
1970/8/1,41.1,-0.2,5.1
1970/9/1,41.3,-0.17,5.4
1970/10/1,41.5,-0.29,5.5
1970/11/1,41.8,-0.32,5.9
1970/12/1,42,-0.03,6.1
1971/1/1,42.1,0.3,5.9
1971/2/1,42.2,-0.02,5.9
1971/3/1,42.2,-0.33,6
1971/4/1,42.4,-0.29,5.9
1971/5/1,42.6,-0.49,5.9
1971/6/1,42.8,-0.16,5.9
1971/7/1,42.9,0.09,6
1971/8/1,43,-0.62,6.1
1971/9/1,43,-0.86,6
1971/10/1,43.1,-0.74,5.8
1971/11/1,43.2,-0.69,6
1971/12/1,43.3,-0.13,6
1972/1/1,43.5,-0.12,5.8
1972/2/1,43.6,-0.09,5.7
1972/3/1,43.6,-0.1,5.8
1972/4/1,43.8,-0.46,5.7
1972/5/1,43.9,-0.58,5.7
1972/6/1,44,-0.55,5.7
1972/7/1,44.1,-0.57,5.6
1972/8/1,44.3,-0.78,5.6
1972/9/1,44.3,-0.21,5.5
1972/10/1,44.4,-0.3,5.6
1972/11/1,44.4,-0.28,5.3
1972/12/1,44.6,-0.26,5.2
1973/1/1,44.6,-0.53,4.9
1973/2/1,44.8,-0.98,5
1973/3/1,45,-1,4.9
1973/4/1,45.1,-0.86,5
1973/5/1,45.3,-1.48,4.9
1973/6/1,45.4,-1.3,4.9
1973/7/1,45.5,-2.39,4.8
1973/8/1,45.7,-1.83,4.8
1973/9/1,46,-2.49,4.8
1973/10/1,46.3,-2.79,4.6
1973/11/1,46.5,-2.2,4.8
1973/12/1,46.7,-2.5,4.9
1974/1/1,46.9,-1.88,5.1
1974/2/1,47.2,-1.85,5.2
1974/3/1,47.6,-1.39,5.1
1974/4/1,47.9,-2.18,5.1
1974/5/1,48.5,-3.08,5.1
1974/6/1,49,-4.03,5.4
1974/7/1,49.5,-5.37,5.5
1974/8/1,50.2,-3.05,5.5
1974/9/1,50.7,-3.28,5.9
1974/10/1,51.2,-2.6,6
1974/11/1,51.6,-1.98,6.6
1974/12/1,52,-1.38,7.2
1975/1/1,52.3,-0.87,8.1
1975/2/1,52.8,-0.74,8.1
1975/3/1,53,-0.05,8.6
1975/4/1,53.3,0.12,8.8
1975/5/1,53.5,0.01,9
1975/6/1,53.8,-0.21,8.8
1975/7/1,54,0.03,8.6
1975/8/1,54.2,0.3,8.4
1975/9/1,54.5,0.18,8.4
1975/10/1,54.8,0.14,8.4
1975/11/1,55.2,0.26,8.3
1975/12/1,55.5,0.24,8.2
1976/1/1,55.9,0,7.9
1976/2/1,56.2,0.11,7.7
1976/3/1,56.5,0.16,7.6
1976/4/1,56.7,0.04,7.7
1976/5/1,57,-0.09,7.4
1976/6/1,57.2,-0.07,7.6
1976/7/1,57.6,-0.08,7.8
1976/8/1,57.9,-0.15,7.8
1976/9/1,58.2,-0.17,7.6
1976/10/1,58.5,-0.1,7.7
1976/11/1,58.7,-0.2,7.8
1976/12/1,58.9,-0.3,7.8
1977/1/1,59.3,0.01,7.5
1977/2/1,59.7,-0.01,7.6
1977/3/1,60,-0.09,7.4
1977/4/1,60.3,-0.19,7.2
1977/5/1,60.6,-0.39,7
1977/6/1,61,-0.37,7.2
1977/7/1,61.2,-0.23,6.9
1977/8/1,61.5,-0.41,7
1977/9/1,61.8,-0.33,6.8
1977/10/1,62,-0.31,6.8
1977/11/1,62.3,-0.41,6.8
1977/12/1,62.7,-0.49,6.4
1978/1/1,63.1,-0.26,6.4
1978/2/1,63.4,-0.33,6.3
1978/3/1,63.8,-0.5,6.3
1978/4/1,64.3,-0.6,6.1
1978/5/1,64.7,-0.95,6
1978/6/1,65.2,-0.87,5.9
1978/7/1,65.6,-0.8,6.2
1978/8/1,66.1,-0.96,5.9
1978/9/1,66.7,-0.6,6
1978/10/1,67.2,-0.97,5.8
1978/11/1,67.6,-1.12,5.9
1978/12/1,68,-0.95,6
1979/1/1,68.5,-0.72,5.9
1979/2/1,69.2,-0.74,5.9
1979/3/1,69.8,-0.61,5.8
1979/4/1,70.3,-0.55,5.8
1979/5/1,70.8,-0.63,5.6
1979/6/1,71.3,-1.23,5.7
1979/7/1,71.9,-1.23,5.7
1979/8/1,72.7,-1.42,6
1979/9/1,73.3,-1.17,5.9
1979/10/1,74,-2.07,6
1979/11/1,74.8,-1.39,5.9
1979/12/1,75.7,-1.74,6
1980/1/1,76.7,-1.82,6.3
1980/2/1,77.5,-1.27,6.3
1980/3/1,78.6,-1.99,6.3
1980/4/1,79.5,-4.41,6.9
1980/5/1,80.1,-2.4,7.5
1980/6/1,81,-2.4,7.6
1980/7/1,80.8,-0.97,7.8
1980/8/1,81.3,-0.48,7.7
1980/9/1,82.1,-0.6,7.5
1980/10/1,83,-1.19,7.5
1980/11/1,83.9,-2.12,7.5
1980/12/1,84.9,-3.41,7.2
1981/1/1,85.4,-4.06,7.5
1981/2/1,85.9,-1.14,7.4
1981/3/1,86.4,-1.34,7.4
1981/4/1,87,-2.03,7.2
1981/5/1,87.8,-2.22,7.5
1981/6/1,88.6,-4.37,7.5
1981/7/1,89.8,-4.09,7.2
1981/8/1,90.7,-2.31,7.4
1981/9/1,91.8,-1.17,7.6
1981/10/1,92.1,-1.54,7.9
1981/11/1,92.5,-2.45,8.3
1981/12/1,93,-1.52,8.5
1982/1/1,93.3,-0.94,8.6
1982/2/1,93.8,-1.3,8.9
1982/3/1,93.9,-2,9
1982/4/1,94.7,-2.24,9.3
1982/5/1,95.4,-2.36,9.4
1982/6/1,96.1,-1.68,9.6
1982/7/1,96.7,-1.24,9.8
1982/8/1,97.1,-1.44,9.8
1982/9/1,97.2,-2.39,10.1
1982/10/1,97.5,-2,10.4
1982/11/1,97.3,-1.13,10.8
1982/12/1,97.2,-1.01,10.8
1983/1/1,97.6,-0.82,10.4
1983/2/1,98,-0.4,10.4
1983/3/1,98.2,-0.42,10.3
1983/4/1,98.6,-0.59,10.2
1983/5/1,98.9,-0.44,10.1
1983/6/1,99.2,-0.19,10.1
1983/7/1,99.8,-0.29,9.4
1983/8/1,100.1,-0.22,9.5
1983/9/1,100.5,-0.45,9.2
1983/10/1,101,-0.84,8.8
1983/11/1,101.5,-0.58,8.5
1983/12/1,101.8,-0.47,8.3
1984/1/1,102.5,-0.66,8
1984/2/1,102.8,-0.5,7.8
1984/3/1,103.2,-0.39,7.8
1984/4/1,103.7,-0.6,7.7
1984/5/1,104.1,-0.49,7.4
1984/6/1,104.5,-1.19,7.2
1984/7/1,105,-1.11,7.5
1984/8/1,105.4,-1.17,7.5
1984/9/1,105.8,-0.93,7.3
1984/10/1,106.2,-0.25,7.4
1984/11/1,106.4,-0.82,7.2
1984/12/1,106.8,-0.32,7.3
1985/1/1,107.1,-0.59,7.3
1985/2/1,107.7,-0.23,7.2
1985/3/1,108.1,-0.06,7.2
1985/4/1,108.4,-0.32,7.3
1985/5/1,108.8,-0.49,7.2
1985/6/1,109.1,-0.58,7.4
1985/7/1,109.4,-0.8,7.4
1985/8/1,109.8,-0.76,7.1
1985/9/1,110,-0.82,7.1
1985/10/1,110.5,-0.83,7.1
1985/11/1,111.1,-0.81,7
1985/12/1,111.4,-1.17,7
1986/1/1,111.9,-1.07,6.7
1986/2/1,112.2,-0.8,7.2
1986/3/1,112.5,-0.92,7.2
1986/4/1,112.9,-0.93,7.1
1986/5/1,113.1,-0.7,7.2
1986/6/1,113.4,-0.71,7.2
1986/7/1,113.8,-0.73,7
1986/8/1,114.2,-0.64,6.9
1986/9/1,114.6,-0.68,7
1986/10/1,115,-0.67,7
1986/11/1,115.3,-0.69,6.9
1986/12/1,115.6,-1.38,6.6
1987/1/1,115.9,-1,6.6
1987/2/1,116.2,-0.51,6.6
1987/3/1,116.6,-0.54,6.6
1987/4/1,117.3,-0.73,6.3
1987/5/1,117.7,-1.19,6.3
1987/6/1,117.9,-1.06,6.2
1987/7/1,118.3,-0.89,6.1
1987/8/1,118.7,-0.69,6
1987/9/1,119.2,-0.82,5.9
1987/10/1,119.8,-1.16,6
1987/11/1,120.1,-1,5.8
1987/12/1,120.4,-1,5.7
1988/1/1,120.9,-1.02,5.7
1988/2/1,121.2,-0.92,5.7
1988/3/1,121.7,-0.88,5.7
1988/4/1,122.3,-0.96,5.4
1988/5/1,122.7,-0.83,5.6
1988/6/1,123.2,-1.05,5.4
1988/7/1,123.6,-1.02,5.4
1988/8/1,124,-0.95,5.6
1988/9/1,124.7,-0.95,5.4
1988/10/1,125.2,-0.95,5.4
1988/11/1,125.6,-0.59,5.3
1988/12/1,126,-0.69,5.3
1989/1/1,126.5,-0.85,5.4
1989/2/1,126.9,-0.83,5.2
1989/3/1,127.4,-1.03,5
1989/4/1,127.8,-1.19,5.2
1989/5/1,128.3,-1.38,5.2
1989/6/1,128.8,-1.38,5.3
1989/7/1,129.2,-1.36,5.2
1989/8/1,129.5,-1.09,5.2
1989/9/1,129.9,-1.27,5.3
1989/10/1,130.6,-1.2,5.3
1989/11/1,131.1,-0.86,5.4
1989/12/1,131.6,-0.82,5.4
1990/1/1,132.1,-0.59,5.4
1990/2/1,132.7,-0.5,5.3
1990/3/1,133.5,-0.38,5.2
1990/4/1,134,-0.49,5.4
1990/5/1,134.4,-0.44,5.4
1990/6/1,135.1,-0.56,5.2
1990/7/1,135.8,-0.53,5.5
1990/8/1,136.6,-0.68,5.7
1990/9/1,137.1,-0.84,5.9
1990/10/1,137.6,-0.94,5.9
1990/11/1,138,-0.75,6.2
1990/12/1,138.6,-0.57,6.3
1991/1/1,139.5,-0.69,6.4
1991/2/1,140.2,-0.31,6.6
1991/3/1,140.5,-0.21,6.8
1991/4/1,140.9,-0.26,6.7
1991/5/1,141.3,-0.32,6.9
1991/6/1,141.8,-0.33,6.9
1991/7/1,142.3,-0.24,6.8
1991/8/1,142.9,-0.33,6.9
1991/9/1,143.4,-0.23,6.9
1991/10/1,143.7,-0.22,7
1991/11/1,144.2,-0.25,7
1991/12/1,144.7,-0.36,7.3
1992/1/1,145.1,-0.23,7.3
1992/2/1,145.4,-0.22,7.4
